Race,Albon,Giovinazzi,Sainz,Leclerc,Ricciardo,Kvyat,Russell,Magnussen,Raikkonen,Stroll,Norris,Hamilton,Verstappen,Hulkenberg,Gasly,Kubica,Grosjean,Vettel,Perez,Bottas
Australia,-1,-1,0,0,-6,5,3,1,1,7,-4,-1,1,4,6,3,-12,-1,-3,1
Bahrain,3,5,-12,-2,-8,3,4,-7,1,4,3,2,1,0,5,4,-9,-3,4,2
China,10,4,0,-1,0,-8,1,-4,4,4,-3,1,1,-11,0,1,-1,0,4,-1
Azerbaijan,0,5,2,3,-7,-11,1,-1,9,4,-1,0,0,1,3,2,-3,0,-1,0
Spain,0,2,4,0,1,0,2,1,0,-3,-9,1,1,7,0,-1,-3,-1,0,-1
Monaco,2,-1,3,-4,-3,0,4,-9,-3,1,1,0,-1,-2,3,2,3,2,4,-1
Canada,-6,-1,0,0,-2,0,2,3,1,8,-11,1,4,0,-3,1,0,-1,3,2
France,-4,-6,0,0,-3,5,1,-2,5,4,-4,0,0,5,-1,0,-4,2,2,0
Austria,3,-3,11,-1,0,-1,2,-9,-3,0,-1,-1,1,2,1,-3,-5,5,2,0
Britain,-3,-7,7,0,0,8,5,-2,4,5,-3,1,-1,0,1,5,-4,-10,-2,-1
Germany,10,-2,2,-5,-2,11,6,4,-7,11,4,-8,1,-6,-10,8,-1,18,-7,-12
Hungary,2,-1,3,0,6,-2,-1,1,3,1,-2,2,-1,-1,0,0,-11,2,5,-6
Belgium,12,0,-4,0,-4,12,-1,-4,-10,6,0,1,-14,4,4,3,-4,-2,1,1
Italy,2,1,-11,0,1,-6,0,-7,5,-3,6,-1,11,1,6,-2,-3,-9,11,1
Singapore,0,0,-5,-1,6,-1,0,-4,-6,3,2,-2,1,-1,3,3,6,2,-3,0
Russia,15,-3,-2,-1,-6,7,1,4,2,3,-1,1,5,-4,2,2,-8,-13,4,2
Japan,2,-3,2,-4,-2,4,2,4,1,3,-3,1,-13,-3,2,3,-3,-1,9,2
Mexico,0,1,-6,-3,5,-2,3,2,-5,4,-11,2,-2,2,1,2,1,0,4,3
US,1,2,-1,0,3,1,1,-6,6,1,1,3,0,2,-6,0,0,-17,10,0
Brazil,-9,7,17,-4,5,6,6,-2,4,-2,2,-4,0,-2,4,3,-6,-15,6,-16
Abu,-1,0,-2,0,-4,4,1,0,4,-8,-2,0,0,-3,-7,0,0,-1,3,16
